qz,qy,qx,qw
0.356889814,0.453908265,0.522423863,0.627431452
0.356882393,0.453913361,0.522415221,0.627439201
0.356905669,0.453914344,0.522404432,0.627434254
0.356938392,0.453917533,0.52238512,0.627429366
0.356954724,0.453917801,0.522378445,0.627425432
0.356961757,0.453912467,0.522387803,0.627417564
0.356935114,0.453914851,0.522392333,0.62742722
0.356914669,0.453923672,0.522380292,0.627442479
0.356925696,0.45393014,0.522361696,0.627446949
0.356935441,0.453927398,0.522364199,0.627441347
0.356927872,0.453923255,0.522376299,0.627438605
0.356908172,0.453927815,0.522373438,0.627448857
0.356902778,0.453937292,0.522354305,0.627461016
0.356876314,0.453936249,0.522366464,0.627466679
0.356862217,0.453934163,0.522376359,0.62746799
0.356861383,0.453927577,0.522391319,0.627460718
0.356814653,0.453925133,0.522414148,0.627470076
0.356786609,0.453923404,0.522428453,0.627475441
0.356784612,0.453929603,0.52241534,0.627482951
0.356762052,0.453930855,0.522420943,0.627490222
0.356742948,0.453922868,0.522445798,0.627486169
0.356755346,0.453919739,0.522448182,0.627479374
0.356731921,0.45391801,0.522460759,0.627483487
0.356695801,0.4539074,0.522497833,0.627480805
0.356693208,0.453906357,0.522501111,0.627480328
0.356726795,0.453902811,0.522496521,0.627467573
0.35675174,0.453898132,0.522497773,0.627455771
0.356768042,0.453898162,0.522491634,0.627451599
0.356755406,0.453895569,0.522502124,0.627451956
0.356731802,0.453887612,0.522528648,0.627449036
0.356771737,0.453888685,0.522511423,0.627439857
0.356822133,0.453893304,0.522482395,0.627432048
0.356834471,0.453891695,0.522481441,0.627427042
0.356805384,0.453888059,0.522500277,0.627430439
0.356801301,0.453899056,0.522477269,0.627443969
0.356826097,0.453910887,0.522441685,0.627451003
0.356858075,0.453914374,0.522422016,0.627446651
0.356851041,0.45390895,0.522436798,0.6274423
0.356817186,0.453913897,0.522438288,0.627456725
0.356783032,0.453923702,0.522429109,0.627476692
0.356731772,0.453931987,0.522429645,0.627499342
0.356685847,0.453925908,0.522460222,0.627504408
0.356669068,0.453929752,0.522457898,0.627513111
0.356655687,0.453932494,0.522456765,0.627519727
0.35665521,0.453936905,0.52244705,0.627524853
0.35665378,0.453938901,0.522443116,0.627527475
0.356630802,0.453929871,0.522471845,0.627523184
0.356618464,0.453923434,0.52249074,0.627519071
